procedure,query_selector,dataset,seed,elapsed_time,accuracy,query_nbr
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.8473684210526315,0
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.8421052631578947,1
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.8789473684210526,2
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9,3
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9105263157894737,4
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9210526315789473,5
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,6
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,7
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,8
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,9
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,10
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,11
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,12
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,13
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,14
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,15
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,16
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,17
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,18
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,1,27.550947666168213,0.9421052631578948,19
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9210526315789473,0
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9263157894736842,1
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9736842105263158,2
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9789473684210527,3
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9789473684210527,4
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,5
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,6
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,7
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,8
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,9
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,10
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,11
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,12
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,13
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,14
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,15
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,16
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,17
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,18
GeneticPopulationHandler,discrimination_power_based_query,HDI20_Classic,0,140.59804773330688,0.9842105263157894,19
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9393939393939394,0
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9470707070707071,1
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9567676767676768,2
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9648484848484848,3
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9638383838383838,4
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9638383838383838,5
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9638383838383838,6
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9638383838383838,7
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9638383838383838,8
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9642424242424242,9
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9642424242424242,10
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,11
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9642424242424242,12
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.964040404040404,13
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.964040404040404,14
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,15
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9642424242424242,16
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,17
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,18
GeneticPopulationHandler,discrimination_power_based_query,SHA_1and3_quartiles,0,269.3361110687256,0.9644444444444444,19
GeneticPopulationHandler,discrimination_power_based_query,TIMES_1and3_quartiles,0,354.0426321029663,0.935959595959596,0
